lr,iterations,cefi_q1,pct_opt
0.005,25,0.00038016309554942686,12.23311014479537
0.005,50,0.00038208145227405245,12.29484014800738
0.005,100,0.00038592243089066486,12.418437401478066
0.005,200,0.00039362139114392804,12.66617904152983
0.005,500,0.00041685307632498086,13.413741777092836
0.005,1000,0.00045601331420394207,14.673862785360026
0.01,25,0.00038208142374534224,12.294839229993878
0.01,50,0.00038592237383788526,12.418435565600399
0.01,100,0.00039362127706211764,12.6661753705387
0.01,200,0.00040908662413623675,13.163828342118606
0.01,500,0.00045601274600598897,14.673844501554404
0.01,1000,0.0005359142540478738,17.24496189841532
0.05,25,0.00039747805594907604,12.790281054337637
0.05,50,0.00041685051163341583,13.4136592489496
0.05,100,0.00045600819960773154,14.673698204895688
0.05,200,0.000535905257905355,17.244672415286633
0.05,500,0.0007864757748223229,25.307676868818735
0.05,1000,0.0012242999482951517,39.39623885931515
0.1,25,0.00041684766096451525,13.413567518460617
0.1,50,0.00045600251457379227,14.673515268552917
0.1,100,0.0005358940081604329,17.244310414423467
0.1,200,0.0007013426840083829,22.56821454571065
0.1,500,0.0012242619964443538,39.395017622492205
0.1,1000,0.0020271648970849963,65.23129614110414
0.5,25,0.0005764745911432179,18.550136117076065
0.5,50,0.0007862406228634829,25.300110011733107
0.5,100,0.0012239567675791493,39.38519578978111
0.5,200,0.002027131745555164,65.23022937181312
0.5,500,0.0029474307437222383,94.8441480885996
0.5,1000,0.003076240390679218,98.98906014709283
1.0,25,0.000785977746539892,25.2916510238445
1.0,50,0.0012235712067379153,39.37278898782281
1.0,100,0.002027083633523533,65.22868119475669
1.0,200,0.0028219641801225954,90.80681171909958
1.0,500,0.003076254728456555,98.9895215164668
1.0,1000,0.00309849130473811,99.70506305661094
5.0,25,0.00233030321285955,74.98585793153373
5.0,50,0.00294954917088583,94.91231607525934
5.0,100,0.003076364831505125,98.99306447667571
5.0,200,0.0030984924430971852,99.7050996873942
5.0,500,0.0031064984972361464,99.96272317387586
5.0,1000,0.0031076041734754336,99.99830226973769
10.0,25,0.0029517621740703286,94.98352738436242
10.0,50,0.003076491293483285,98.99713384407637
10.0,100,0.0030984930682039988,99.70511980244636
10.0,200,0.0031054761840082074,99.92982658168617
10.0,500,0.003107604468794623,99.99831177269107
10.0,1000,0.0031076568231211696,99.99999646079125
20.0,25,0.0030767090783522964,99.00414185280124
20.0,50,0.00309849170066139,99.70507579686151
20.0,100,0.003105477725217516,99.92987617561954
20.0,200,0.0031074780857966115,99.99424494675976
20.0,500,0.0031076568264072624,99.99999656653306
20.0,1000,0.003107656933416055,100.00000000992448
